Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
102,Cedric Ceballos,23,PHO,SF,74,46,21.7,5.1,8.9,0.576,0,0,0,5.1,8.9,0.577,0.576,2.5,3.5,0.725,2.3,3.2,5.5,1,0.7,0.4,1.4,1.4,12.8,
103,Vlade Divac,24,LAL,C,82,69,30.8,4.8,10,0.485,0.3,0.9,0.28,4.6,9.1,0.505,0.498,2.9,4.2,0.689,2.7,6.2,8.9,2.8,1.6,1.7,2.6,3.8,12.8,
104,A.C. Green,29,LAL,PF,82,55,34.4,4.6,8.6,0.537,0.2,0.6,0.348,4.4,8,0.55,0.548,3.4,4.6,0.739,3.5,5.2,8.7,1.4,1.1,0.5,1.4,1.8,12.8,
105,Otis Thorpe,30,HOU,PF,72,69,32.7,5.3,9.6,0.558,0,0,0,5.3,9.6,0.56,0.558,2.1,3.6,0.598,3,5.1,8.2,2.5,0.6,0.3,2.1,3.3,12.8,
106,Terry Davis,25,DAL,PF,75,74,32.8,5.2,11.5,0.455,0,0.1,0.25,5.2,11.4,0.457,0.457,2.2,3.7,0.594,3.5,5.9,9.3,0.9,0.5,0.4,2.1,2.7,12.7,
107,Robert Parish,39,BOS,C,79,79,27.2,5.3,9.8,0.535,0,0,,5.3,9.8,0.535,0.535,2.1,3,0.689,3.1,6.3,9.4,0.8,0.7,1.4,1.5,2.5,12.6,
108,Rex Chapman,25,WSB,SG,60,23,21.7,4.8,10,0.477,0.7,1.9,0.371,4.1,8.1,0.502,0.512,2.2,2.7,0.81,0.3,1.2,1.5,1.9,0.6,0.2,1.3,2,12.5,
109,Armen Gilliam,28,PHI,PF,80,26,21.8,4.5,9.7,0.464,0,0,0,4.5,9.7,0.464,0.464,3.4,4.1,0.843,1.7,4.2,5.9,1.5,0.5,0.7,2,1.5,12.4,
110,Charles Smith,27,NYK,SF,81,68,26.8,4.4,9.4,0.469,0,0,0,4.4,9.4,0.47,0.469,3.5,4.5,0.782,2.1,3.2,5.3,1.8,0.6,1.2,1.9,3.1,12.4,
111,B.J. Armstrong,25,CHI,PG,82,74,30.4,5,10,0.499,0.8,1.7,0.453,4.2,8.3,0.508,0.537,1.6,1.8,0.861,0.3,1.5,1.8,4,0.8,0.1,1,2.1,12.3,
